DateTime,Pairs_Trading
2025-10-27 14:50:00,100000.0
2025-10-27 14:51:00,100000.0
2025-10-27 14:52:00,100000.0
2025-10-27 14:53:00,100000.0
2025-10-27 14:54:00,100000.0
2025-10-27 14:55:00,100000.0
2025-10-27 14:56:00,100000.0
2025-10-27 14:57:00,100000.0
2025-10-27 14:58:00,100000.0
2025-10-27 14:59:00,100000.0
2025-10-27 15:00:00,100000.0
2025-10-27 15:01:00,100000.0
2025-10-27 15:02:00,100000.0
2025-10-27 15:03:00,100000.0
2025-10-27 15:04:00,100000.0
2025-10-27 15:05:00,100000.0
2025-10-27 15:06:00,100000.0
2025-10-27 15:07:00,100000.0
2025-10-27 15:08:00,100000.0
2025-10-27 15:09:00,100000.0
2025-10-27 15:10:00,100000.0
2025-10-27 15:11:00,100000.0
2025-10-27 15:12:00,100000.0
2025-10-27 15:13:00,100000.0
2025-10-27 15:14:00,100000.0
2025-10-27 15:15:00,100000.0
2025-10-27 15:16:00,100000.0
2025-10-27 15:17:00,100000.0
2025-10-27 15:18:00,100000.0
2025-10-27 15:19:00,100000.0
2025-10-27 15:20:00,100000.0
2025-10-27 15:21:00,100000.0
2025-10-27 15:22:00,100000.0
2025-10-27 15:23:00,100000.0
2025-10-27 15:24:00,100000.0
2025-10-27 15:25:00,100000.0
2025-10-27 15:26:00,100000.0
2025-10-27 15:27:00,100000.0
2025-10-27 15:28:00,100000.0
2025-10-27 15:29:00,100000.0
2025-10-27 15:30:00,100000.0
2025-10-27 15:31:00,100000.0
2025-10-27 15:32:00,100000.0
2025-10-27 15:33:00,100000.0
2025-10-27 15:34:00,100000.0
2025-10-27 15:35:00,100000.0
2025-10-27 15:36:00,100000.0
2025-10-27 15:37:00,100000.0
2025-10-27 15:38:00,100000.0
2025-10-27 15:39:00,100000.0
2025-10-27 15:40:00,100000.0
2025-10-27 15:41:00,100000.0
2025-10-27 15:42:00,100000.0
2025-10-27 15:43:00,100000.0
2025-10-27 15:44:00,100000.0
2025-10-27 15:45:00,100000.0
2025-10-27 15:46:00,100000.0
2025-10-27 15:47:00,100000.0
2025-10-27 15:48:00,100000.0
2025-10-27 15:49:00,100000.0
2025-10-27 15:50:00,99996.36484062648
2025-10-27 15:51:00,99992.52963215897
2025-10-27 15:52:00,99996.0821659231
2025-10-27 15:53:00,99989.68500172709
2025-10-27 15:54:00,99992.16064193727
2025-10-27 15:55:00,99989.58308028267
2025-10-27 15:56:00,99995.47537763571
2025-10-27 15:57:00,100005.14801274758
2025-10-27 15:58:00,100020.02382338837
2025-10-27 15:59:00,100020.02382338837
2025-10-28 09:30:00,100020.02382338837
2025-10-28 09:31:00,100034.43547806838
2025-10-28 09:32:00,100088.54285091588
2025-10-28 09:33:00,100057.26757351423
2025-10-28 09:34:00,100065.19304233429
2025-10-28 09:35:00,100088.30898562068
2025-10-28 09:36:00,100086.72156523359
2025-10-28 09:37:00,100094.03664875386
2025-10-28 09:38:00,100095.84175328685
2025-10-28 09:39:00,100089.61914273787
2025-10-28 09:40:00,100081.80591891338
2025-10-28 09:41:00,100090.31495937897
2025-10-28 09:42:00,100097.6373477367
2025-10-28 09:43:00,100115.93517348875
2025-10-28 09:44:00,100145.34264102404
2025-10-28 09:45:00,100143.71496588079
2025-10-28 09:46:00,100166.55034915902
2025-10-28 09:47:00,100183.72427403319
2025-10-28 09:48:00,100198.09709306752
2025-10-28 09:49:00,100185.09153327977
2025-10-28 09:50:00,100206.87379245427
2025-10-28 09:51:00,100202.10344195261
2025-10-28 09:52:00,100196.39042444344
2025-10-28 09:53:00,100200.03054787671
2025-10-28 09:54:00,100199.52764545985
2025-10-28 09:55:00,100187.00375227959
2025-10-28 09:56:00,100190.23083056719
2025-10-28 09:57:00,100207.04870240604
2025-10-28 09:58:00,100194.66415865053
2025-10-28 09:59:00,100202.13404267335
2025-10-28 10:00:00,100193.78541200496
2025-10-28 10:01:00,100170.94543193458
2025-10-28 10:02:00,100209.74473908843
2025-10-28 10:03:00,100209.74473908843
2025-10-28 10:04:00,100209.74473908843
2025-10-28 10:05:00,100209.74473908843
2025-10-28 10:06:00,100209.74473908843
2025-10-28 10:07:00,100209.74473908843
2025-10-28 10:08:00,100209.74473908843
2025-10-28 10:09:00,100209.74473908843
2025-10-28 10:10:00,100209.74473908843
2025-10-28 10:11:00,100209.74473908843
2025-10-28 10:12:00,100209.74473908843
2025-10-28 10:13:00,100209.74473908843
2025-10-28 10:14:00,100209.74473908843
2025-10-28 10:15:00,100209.74473908843
2025-10-28 10:16:00,100209.74473908843
2025-10-28 10:17:00,100209.74473908843
2025-10-28 10:18:00,100209.74473908843
2025-10-28 10:19:00,100209.74473908843
2025-10-28 10:20:00,100209.74473908843
2025-10-28 10:21:00,100209.74473908843
2025-10-28 10:22:00,100209.74473908843
2025-10-28 10:23:00,100209.74473908843
2025-10-28 10:24:00,100209.74473908843
2025-10-28 10:25:00,100209.74473908843
2025-10-28 10:26:00,100209.74473908843
2025-10-28 10:27:00,100209.74473908843
2025-10-28 10:28:00,100209.74473908843
2025-10-28 10:29:00,100209.74473908843
2025-10-28 10:30:00,100209.74473908843
2025-10-28 10:31:00,100209.74473908843
2025-10-28 10:32:00,100209.74473908843
2025-10-28 10:33:00,100209.74473908843
2025-10-28 10:34:00,100209.74473908843
2025-10-28 10:35:00,100209.74473908843
2025-10-28 10:36:00,100209.74473908843
2025-10-28 10:37:00,100209.74473908843
2025-10-28 10:38:00,100209.74473908843
2025-10-28 10:39:00,100209.74473908843
2025-10-28 10:40:00,100209.74473908843
2025-10-28 10:41:00,100209.74473908843
2025-10-28 10:42:00,100209.74473908843
2025-10-28 10:43:00,100209.74473908843
2025-10-28 10:44:00,100209.74473908843
2025-10-28 10:45:00,100209.74473908843
2025-10-28 10:46:00,100209.74473908843
2025-10-28 10:47:00,100209.74473908843
2025-10-28 10:48:00,100209.74473908843
2025-10-28 10:49:00,100209.74473908843
2025-10-28 10:50:00,100209.74473908843
2025-10-28 10:51:00,100209.74473908843
2025-10-28 10:52:00,100209.74473908843
2025-10-28 10:53:00,100209.74473908843
2025-10-28 10:54:00,100209.74473908843
2025-10-28 10:55:00,100209.74473908843
2025-10-28 10:56:00,100209.74473908843
2025-10-28 10:57:00,100209.74473908843
2025-10-28 10:58:00,100209.74473908843
2025-10-28 10:59:00,100209.74473908843
2025-10-28 11:00:00,100209.74473908843
2025-10-28 11:01:00,100209.74473908843
2025-10-28 11:02:00,100209.74473908843
2025-10-28 11:03:00,100192.66489630591
2025-10-28 11:04:00,100194.25539534843
2025-10-28 11:05:00,100194.88578341632
2025-10-28 11:06:00,100204.052470737
2025-10-28 11:07:00,100211.73397183156
2025-10-28 11:08:00,100224.05086351803
2025-10-28 11:09:00,100204.8110915855
2025-10-28 11:10:00,100189.9611562784
2025-10-28 11:11:00,100179.96307333418
2025-10-28 11:12:00,100182.96451291982
2025-10-28 11:13:00,100195.20386500504
2025-10-28 11:14:00,100193.22033041599
2025-10-28 11:15:00,100193.85132351283
2025-10-28 11:16:00,100200.76706867776
2025-10-28 11:17:00,100202.51372847008
2025-10-28 11:18:00,100203.47014191662
2025-10-28 11:19:00,100203.07251523926
2025-10-28 11:20:00,100183.44035289835
